Humidity,Temperature,RainToday
75.4,25.2,No
26.2,78.6,No
69.6,25.7,No
77.5,25.4,No
61.8,27.3,No
74.9,28.8,No
29,23.6,No
36,25.7,Yes
69,20.2,Yes
56,14.1,Yes
49,15.4,Yes
57,14.8,No
47,17.3,No
57,15.5,No
48,18.9,No
32,21.7,Yes
34,24,No
35,26,No
29,27.1,No
20,30.7,No
16,30.4,No
22,30.7,No
23,29.8,No
26,28.6,Yes
25,31.2,No
27,32,No
26,32.8,No
72,18.3,No
79,16.8,Yes
57,22.8,No
31,27.3,No
48,25.1,No
55,21.2,No
31,26.7,No
80,19.7,No
49,23.2,No
90,16.3,Yes
46,25.2,Yes
60,19.9,No
40,25.1,Yes
63,20.5,No
54,24.5,No
74,22.6,No
42,26.3,Yes
24,28.6,No
37,22.9,No
63,16.4,No
51,19.4,No
49,19.2,No
37,25,No
36,29.1,No
86,20,Yes
40,20.8,Yes
43,19.8,No
54,20,No
74,20.4,Yes
48,28.2,Yes
62,19.6,Yes
49,18.8,Yes
43,22.5,No
52,21,Yes
35,23.9,No
64,19,No
44,27.4,Yes
30,30.3,No
18,34.3,No
20,32.2,No
20,31.8,No
14,33.6,No
55,22.3,No
45,23.9,No
40,26.8,No
34,31.9,No
36,31.3,No
44,28,No
45,27.9,No
25,32.2,No
24,34.5,No
28,34,No
35,31.8,Yes
57,21.6,No
26,31.7,No
62,23.5,No
42,23.9,Yes
55,19.4,No
88,18.6,Yes
71,21.9,Yes
58,18.6,No
46,22.2,No
38,22.7,No
29,26.3,No
32,24.6,No
28,28.3,No
28,30.7,No
18,32.1,No
22,32.3,No
29,33.1,No
49,26.3,Yes
49,22.9,Yes
44,27,No
38,29.1,No
76,22.1,Yes
71,21.5,Yes
41,26.5,No
76,20.3,No
58,18.7,Yes
51,18.7,No
37,21.4,No
34,24.2,No
60,22.6,Yes
73,16.8,Yes
37,22,No
32,24.3,No
40,24.7,No
46,22.5,No
42,24.1,No
38,26.1,No
31,28.6,No
56,24,Yes
42,27.4,Yes
32,24.5,No
34,22.9,No
35,24.3,No
27,27,No
25,26.8,No
78,15.3,No
34,16.8,Yes
31,20,No
37,22.1,No
28,25.5,No
28,27,No
35,26.2,No
24,30,No
34,27.7,No
39,24.9,Yes
33,27,No
28,30.1,No
18,32.7,No
23,30.7,No
18,31.7,No
15,32.7,No
15,34.1,No
17,30.5,No
22,28.8,No
30,29.2,No
48,24.5,No
35,27.6,No
62,13.9,No
64,17.9,No
44,24.2,No
68,21.1,No
93,16.6,Yes
50,17.4,Yes
36,17.4,No
35,17.2,No
30,18.2,No
34,18.1,No
42,16.5,No
34,21.2,No
26,22.5,No
40,13.7,Yes
33,17.6,No
27,20.5,No
35,20.8,No
48,19.5,No
45,17.8,No
49,18.6,No
28,22.2,No
29,22.4,No
32,23.7,No
56,19.1,Yes
40,17.9,Yes
36,20.4,No
39,18.8,No
44,20.4,No
43,19.1,No
51,15.2,No
65,15.6,No
34,19.8,No
49,17.7,No
43,18.1,No
55,17.6,No
42,20.6,No
34,20.2,No
51,16.6,No
60,8.8,Yes
40,13.2,No
40,13.9,No
54,12.4,No
38,15.9,No
42,16.2,No
42,15.4,No
41,18.5,No
53,15.4,No
43,16.5,No
44,16.9,No
36,20.7,No
41,20.9,No
52,17.2,No
47,18.8,No
34,18.6,No
44,17.8,No
40,17.7,No
69,15.2,Yes
78,7.3,No
53,13.3,No
36,16.7,No
52,16.2,No
47,16.6,No
43,13.8,No
49,14.5,No
43,13.9,No
48,17.2,No
50,17.9,Yes
55,17.7,Yes
50,16.3,No
45,17.3,No
46,17.4,No
38,18.2,No
67,13.9,No
67,15.5,No
86,13.6,No
65,13.3,Yes
65,14.8,No
42,16.2,No
42,14.5,No
70,13,No
65,14.5,No
94,11.6,Yes
65,13.7,Yes
48,14.7,No
58,11.1,No
49,11,No
57,13.8,No
51,16,No
58,14.9,No
70,15,No
63,14.8,No
86,11.3,Yes
59,12.1,No
44,12.5,No
53,12.3,No
69,11.7,No
54,11.3,No
48,11.5,No
51,12.7,No
41,14.5,No
38,14.6,No
68,12.9,No
56,11.1,Yes
53,12.3,No
53,11.1,No
52,10.2,No
55,12.6,No
59,13.6,No
96,8.6,No
72,7.4,Yes
68,8,No
85,6.9,No
66,7.1,Yes
54,9.9,No
69,10.7,No
51,15.9,No
46,13.3,No
62,12.1,No
55,11,No
73,8.2,No
48,10.7,Yes
87,8.7,No
56,11.2,Yes
33,11,No
48,10.1,No
51,10.8,No
25,12.3,No
50,10.9,No
66,7.8,No
56,9.6,Yes
49,11.2,No
48,11.5,No
38,12.8,No
82,8.6,No
56,10.5,Yes
48,11.6,No
60,9.1,No
72,7.2,No
48,13.6,Yes
78,5.7,No
62,11.3,Yes
70,8.1,No
68,5.1,No
60,8.3,No
63,8.6,No
41,10.4,No
45,9.5,No
51,12,No
27,13.5,No
35,10.8,No
30,11.2,No
47,12.2,No
36,12.4,No
27,13.2,No
44,10.7,No
38,11.1,No
28,14,No
34,12.8,No
23,15.8,No
23,14.4,No
43,12.3,No
45,14.6,No
45,15.4,No
85,12.6,Yes
34,14.3,Yes
44,14.9,No
51,11.1,No
61,10.2,No
73,10.8,No
33,15.7,No
33,15.5,No
37,15.3,No
25,13.4,No
35,14.9,No
20,16.3,No
27,21.5,No
31,25.1,No
43,18.2,Yes
33,18.5,Yes
33,12.2,Yes
43,13.7,No
36,17.8,No
30,22.4,No
15,21.3,No
25,18.3,No
50,21,No
44,14.3,Yes
33,16.5,No
32,18.1,No
35,20,No
25,24.7,No
25,23,No
32,16,No
34,16.3,No
16,19.5,No
21,26.7,No
22,28.4,No
65,19.3,Yes
46,19.8,Yes
40,16.2,No
45,14.6,Yes
33,16.6,No
22,18.8,No
25,21.4,No
30,20.6,No
27,22.3,No
47,23.2,No
61,19.4,Yes
42,18.4,No
30,19.2,No
34,21.9,No
31,23.7,No
30,27.4,No
20,26.3,No
28,18.5,No
24,14.3,No
25,16.3,No
29,19.1,No
16,24.8,No
20,25.9,No
15,30,No
22,28.2,No
47,18.3,No
39,25.9,No
13,28.6,No
