MinTemp,MaxTemp,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday
8,24.3,68,29,14.4,23.6,No
14,26.9,80,36,17.5,25.7,Yes
13.7,23.4,82,69,15.4,20.2,Yes
13.3,15.5,62,56,13.5,14.1,Yes
7.6,16.1,68,49,11.1,15.4,Yes
6.2,16.9,70,57,10.9,14.8,No
6.1,18.2,63,47,12.4,17.3,No
8.3,17,65,57,12.1,15.5,No
8.8,19.5,70,48,14.1,18.9,No
8.4,22.8,82,32,13.3,21.7,Yes
9.1,25.2,74,34,14.6,24,No
8.5,27.3,54,35,16.8,26,No
10.1,27.9,62,29,17,27.1,No
12.1,30.9,67,20,19.7,30.7,No
10.1,31.2,45,16,18.7,30.4,No
12.4,32.1,70,22,19.1,30.7,No
13.8,31.2,72,23,20.2,29.8,No
11.7,30,59,26,20.1,28.6,Yes
12.4,32.3,60,25,20.2,31.2,No
15.6,33.4,61,27,22.8,32,No
15.3,33.4,60,26,22.2,32.8,No
16.4,19.4,88,72,16.5,18.3,No
12.8,18.5,91,79,14,16.8,Yes
12,24.3,74,57,17.8,22.8,No
15.4,28.4,85,31,16.8,27.3,No
15.6,26.9,65,48,19.8,25.1,No
13.3,22.2,70,55,16.5,21.2,No
12.9,28,61,31,18.8,26.7,No
15.1,24.3,69,80,18.9,19.7,No
13.6,24.1,83,49,17.3,23.2,No
15.1,20.4,82,90,17,16.3,Yes
11.6,26.3,66,46,16.7,25.2,Yes
16.6,24.2,72,60,20.5,19.9,No
13.3,26.5,74,40,18.8,25.1,Yes
14.5,21.8,69,63,18.6,20.5,No
16.3,26.8,78,54,18.6,24.5,No
17.2,25.8,70,74,21.5,22.6,No
16.5,28.2,76,42,18,26.3,Yes
15,29.4,78,24,20.6,28.6,No
14.9,24.8,58,37,19.3,22.9,No
11.8,18.5,60,63,13.8,16.4,No
11.7,21.5,66,51,15.7,19.4,No
9.6,20.3,70,49,15.8,19.2,No
8.9,27.1,63,37,15.8,25,No
10.1,29.9,63,36,17.4,29.1,No
15.5,21.1,93,86,16.6,20,Yes
10.8,21.7,59,40,15.3,20.8,Yes
7.5,20.9,61,43,15.3,19.8,No
12.8,21,72,54,16.1,20,No
12.6,23.1,97,74,15.3,20.4,Yes
14.8,29.5,81,48,21,28.2,Yes
19.9,22,92,62,20.6,19.6,Yes
9.2,20.4,59,49,14.9,18.8,Yes
12.4,24.4,69,43,15,22.5,No
11.3,21.7,67,52,12.4,21,Yes
9.8,26.3,63,35,15.3,23.9,No
14.3,26.7,68,64,19.8,19,No
15.1,28.3,73,44,18.3,27.4,Yes
14.4,31.6,65,30,21.5,30.3,No
15.4,35,55,18,23.4,34.3,No
13.8,33.5,44,20,21.9,32.2,No
13.6,34.2,50,20,21.9,31.8,No
14.3,35,43,14,23,33.6,No
15.9,23.4,69,55,19.2,22.3,No
16.7,25.3,56,45,20.3,23.9,No
12.1,27.5,69,40,18.6,26.8,No
14.3,34.1,77,34,18.9,31.9,No
16.5,33.9,60,36,20.8,31.3,No
16.5,30.3,77,44,18.1,28,No
17.5,29.9,74,45,19.3,27.9,No
14.7,34.2,64,25,21.3,32.2,No
17.5,35.8,56,24,24.7,34.5,No
20.9,35.7,61,28,23.6,34,No
17,33.8,65,35,23,31.8,Yes
16,22.8,70,57,17,21.6,No
15.4,33.8,70,26,18,31.7,No
17.9,33.2,58,62,24.5,23.5,No
15.2,25.1,62,42,17.1,23.9,Yes
15.1,20.4,63,55,17.8,19.4,No
15.3,19.6,92,88,18,18.6,Yes
17.2,24.7,80,71,19.4,21.9,Yes
15.9,19.9,73,58,17.4,18.6,No
10,22.5,55,46,14.7,22.2,No
9.9,24.4,60,38,16.2,22.7,No
10.3,27.8,64,29,17,26.3,No
15.4,25.7,67,32,17.6,24.6,No
12.7,28.8,70,28,18.3,28.3,No
13.2,31.3,71,28,19.7,30.7,No
15.3,33.2,60,18,22.4,32.1,No
17.9,33.9,72,22,19.8,32.3,No
18,34.9,68,29,22.2,33.1,No
17.6,27.8,66,49,21.4,26.3,Yes
16,23.8,73,49,16.5,22.9,Yes
14.9,28.8,71,44,19.1,27,No
17.1,29.6,67,38,21.7,29.1,No
18.2,22.6,92,76,18.5,22.1,Yes
16.8,22.8,88,71,18.4,21.5,Yes
13.6,27.4,77,41,18.7,26.5,No
14.5,24.2,76,76,17.9,20.3,No
12.4,19.9,75,58,13.6,18.7,Yes
10.4,20.9,65,51,13.8,18.7,No
9.1,23.1,66,37,14,21.4,No
8.9,26,74,34,14.6,24.2,No
14.5,24.2,95,60,15.8,22.6,Yes
12.6,18.2,81,73,16.3,16.8,Yes
8.6,24.2,63,37,13.7,22,No
10.8,25.2,69,32,15,24.3,No
11.2,26.1,71,40,15.3,24.7,No
12.1,24.1,64,46,15.4,22.5,No
10.8,25.8,72,42,17.2,24.1,No
11.4,27.1,69,38,16.9,26.1,No
12,28.9,78,31,17.4,28.6,No
16.3,24.8,88,56,17.5,24,Yes
12.7,28.6,78,42,16.5,27.4,Yes
12.7,25.1,57,32,15.7,24.5,No
12,23.8,54,34,15.1,22.9,No
11.5,25.9,70,35,15.8,24.3,No
13,28.2,74,27,17.4,27,No
11.7,27.6,74,25,17.6,26.8,No
14.8,17.3,74,78,15.7,15.3,No
7.7,18.4,58,34,10.6,16.8,Yes
4.4,21.8,60,31,11.7,20,No
7.4,24.4,65,37,12.2,22.1,No
8.3,27.3,78,28,13.8,25.5,No
10.1,28.2,72,28,15.6,27,No
12,27.6,69,35,15.7,26.2,No
12.9,31.8,76,24,17.4,30,No
10.8,29.2,56,34,17.5,27.7,No
9.5,27.4,79,39,14,24.9,Yes
12.1,27.8,66,33,17.8,27,No
12.5,31.7,74,28,17.2,30.1,No
13.9,34.7,50,18,20.2,32.7,No
13.3,31.7,80,23,17.5,30.7,No
13.2,33.1,91,18,16.1,31.7,No
12.3,33.8,57,15,17.9,32.7,No
13.8,35.2,47,15,21.4,34.1,No
11.3,32.3,44,17,18.2,30.5,No
11.7,30.2,73,22,17.7,28.8,No
12.5,29.9,76,30,16.8,29.2,No
15.1,26.2,59,48,19.7,24.5,No
11.5,29.3,76,35,17.1,27.6,No
13,14.8,77,62,13.3,13.9,No
11.6,19.6,71,64,14,17.9,No
12.8,24.9,76,44,15.5,24.2,No
15.5,22.4,89,68,17.1,21.1,No
13.1,17.4,94,93,16.4,16.6,Yes
12.6,20.2,76,50,15.1,17.4,Yes
